Recording	Participant	Timeline	TOI	Interval	Media	AOI	post	pre	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording20	Participant5	Timeline1	Entire Recording	1	Screen Recording Recording20	Rectangle 46				10159	267	67	749	38	421311	416	"Rectangle 1,Rectangle 15,Rectangle 26,Rectangle 38"		3.37109	9943	269	67	749	37	421311	416	3.37085	11975	1197	67	5713	10	421311	733	12341	1234	83	5746	10	421294	749	0			0			20	434385	432553	99.25	231.53													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle			5	4520	205	57	450	22	17520	57	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.24556	3414	213	67	450	16	17627	400	3.24727	5253	1751	483	3787	3	17520	3787	5336	1779	550	3787	3	17520	3787	0			0			15	23373		464.8														
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 1			5	5579	223	83	716	25	21441	716	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.2013	4930	214	83	716	23	21441	716	3.19956	6412	2137	1932	2465	3	21441	1932	6562	2187	1949	2532	3	21424	1949	0			0			21		23373		464.8													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 2			5	1616	269	133	716	6	21441	716	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.17959	1332	266	133	716	5	21441	716	3.17148	1749	874	283	1466	2	21441	1466	1765	883	283	1482	2	21424	1482	0			0			4		22906		307.33													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 3			5	3597	200	83	366	18	22956	266	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.20736	3231	190	83	333	17	22956	266	3.20684	4097	1366	416	2465	3	22956	416	4247	1416	466	2532	3	22906	466	0			0			15	22906	23373	307.33	464.8													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 4			5	366	366	366	366	1	27753	366	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.23741	366	366	366	366	1	27753	366	3.23741	366	366	366	366	1	27753	366	433	433	433	433	1	27686	433	0			0			0		28119		59.71													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 5			5	0				0			"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"			0				0				0				0			0				0			0			0			0																	
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 6			5	0				0			"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"			0				0				0				0			0				0			0			0			0																	
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 7			5	11558	218	67	849	53	35231	150	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.17511	10592	212	67	849	50	35231	150	3.17118	13174	941	117	4547	14	35231	4547	13907	993	150	4580	14	35197	4580	0			0			35	35197	39778	296.54	248.97													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 8			5	30545	226	67	983	135	39844	200	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.13473	28396	229	67	983	124	39844	200	3.13732	36706	1932	117	7761	19	39844	200	37555	1977	150	7844	19	39778	266	0			0			99	39778	40044	248.97	151.28													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 9			5	8177	210	67	483	39	39844	200	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.11385	7495	214	67	483	35	39844	200	3.11465	10191	1132	167	2715	9	39844	200	10508	1168	183	2765	9	39778	266	0			0			24	39778	40044	248.97	151.28													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 10			5	8444	235	67	533	36	46473	167	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.17899	7944	234	67	533	34	46473	167	3.18351	9660	878	283	1832	11	46473	283	10159	924	350	1849	11	46406	350	0			0			22	46406	46756	219.62	263.67													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 11			5	3181	289	83	983	11	52252	150	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.19537	3048	305	83	983	10	52252	150	3.19591	3348	1116	83	3114	3	52252	150	3481	1160	150	3164	3	52235	167	0			0			8	55216	52402	202.16	56.07													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 12			5	5912	204	83	566	29	58997	566	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.08681	5563	206	83	566	27	58997	566	3.08727	7012	779	83	2282	9	58997	2282	7361	818	133	2365	9	58914	2365	0			0			16	58914	61279	572.11	517.1													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 13			5	4663	245	83	616	19	61295	217	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.11206	4180	246	83	616	17	61295	217	3.11578	5413	1083	217	3847	5	61295	733	5546	1109	233	3881	5	61279	749	0			0			12	61279	62028	517.1	58													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 14			5	88838	357	67	2265	249	92520	202	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.35646	71665	336	67	2265	213	92755	83	3.34808	107192	3573	117	19286	30	92520	19171	108691	3623	183	19336	30	92520	19171	0			0			152	112208	124449	118.26	284.36													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 15			5	6712	210	67	433	32	123883	100	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.38686	6462	215	67	433	30	178927	217	3.38792	7861	873	100	2032	9	123883	100	8177	909	100	2065	9	123883	100	0			0			21	178877	123983	123.52	50.74													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 16			5	13790	306	67	883	45	158275	150	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.2834	13024	310	67	883	42	158275	150	3.28629	15356	1024	83	4230	15	158275	150	15922	1061	117	4247	15	158241	183	0			0			25	158241	158425	129.62	94.37													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 17			5	899	225	67	333	4	178927	217	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.35215	899	225	67	333	4	178927	217	3.35215	899	225	67	333	4	178927	217	1066	266	100	350	4	178877	266	0			0			0	178877	179143	123.52	93.9													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 18			5	1749	175	100	316	10	123883	100	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.39139	1499	187	100	316	8	216067	316	3.39671	2015	288	100	683	7	123883	100	2198	314	100	716	7	123883	100	0			0			2	216017	123983	346.61	50.74													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 19			5	899	225	150	333	4	216416	333	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.40291	899	225	150	333	4	216416	333	3.40291	916	305	250	333	3	216416	333	1016	339	283	366	3	216383	366	0			0			1	216383	216750	93.13	43.76													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 20			5	1482	247	83	433	6	215534	83	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.38789	1482	247	83	433	6	215534	83	3.38789	1516	303	200	433	5	215534	316	1699	340	233	450	5	215484	366	0			0			1	215484	215850	155.55	69.57													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 21			5	1449	241	100	400	6	215883	133	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.3856	1449	241	100	400	6	215883	133	3.3856	1482	296	133	533	5	215883	133	1665	333	167	583	5	215850	167	0			0			1	215850	216017	69.57	346.61													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 22			5	16688	274	67	833	61	111791	233	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.37826	14973	267	67	833	56	111791	233	3.3795	19386	1077	133	2598	18	111791	416	20052	1114	200	2631	18	111775	433	0			0			35	123233	112208	43	118.26													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 23			5	9477	226	67	616	42	157259	616	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.37583	9110	228	67	616	40	157259	616	3.37516	10542	527	67	3881	20	157259	616	11192	560	83	3931	20	157242	633	0			0			20	157242	157875	263.68	49.82													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 24			5	14723	289	83	1099	51	157908	333	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.3173	13857	295	83	1099	47	157908	333	3.32291	16355	861	83	3164	19	157908	333	16938	891	100	3181	19	157875	366	0			0			27	157875	158241	49.82	129.62													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 25			5	25873	319	67	1199	81	288840	108	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.29087	21285	308	67	1016	69	289131	749	3.30177	30919	3092	516	9360	10	288840	4122	31269	3127	550	9377	10	288840	4122	0			0			55	294044	292962	176.45	287.18													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 26			5	3314	331	133	716	10	304020	366	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.36874	3181	353	200	716	9	304020	366	3.36567	3531	1177	650	2165	3	304020	650	3581	1194	666	2198	3	304004	666	0			0			7	304004	304670	283.82	277.33													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 27			5	2665	266	67	749	10	301306	167	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.26879	2398	266	67	749	9	301306	167	3.28216	2898	483	67	1799	6	301306	466	3131	522	117	1832	6	301289	483	0			0			3	301289	301772	42.71	46.75													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 28			5	266	266	266	266	1	326787	266	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.43804	266	266	266	266	1	326787	266	3.43804	266	266	266	266	1	326787	266	300	300	300	300	1	326754	300	0			0			0	326754	327054	113.33	170.93													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 29			5	566	283	200	366	2	304020	366	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.52654	566	283	200	366	2	304020	366	3.52654	566	283	200	366	2	304020	366	600	300	217	383	2	304004	383	0			0			0	304004	304387	283.82	120.83													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 30			5	1332	333	250	566	4	304420	250	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.38454	1332	333	250	566	4	304420	250	3.38454	1332	333	250	566	4	304420	250	1449	362	283	583	4	304387	283	0			0			0	304387	304670	120.83	277.33													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 31			5	1016	508	300	716	2	327604	716	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.23227	1016	508	300	716	2	327604	716	3.23227	1016	508	300	716	2	327604	716	1099	550	333	766	2	327554	766	0			0			0	327554	328320	60.59	58.6													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 32			5	0				0			"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"			0				0				0				0			0				0			0			0			0																	
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 33			5	4014	175	67	383	23	293228	150	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.34896	3814	173	67	383	22	293228	150	3.3508	4730	1182	183	2981	4	293228	816	4896	1224	233	3015	4	293195	849	0			0			18	295360	294044	91.58	176.45													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 34			5	4214	248	67	450	17	306802	383	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.24168	3831	239	67	450	16	308084	450	3.2375	4896	816	133	2865	6	306802	383	5180	863	183	2931	6	306768	416	0			0			9	308034	323240	221.31	49.25													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 35			5	7628	246	67	516	31	301073	217	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.36796	6162	228	67	483	27	301073	217	3.37474	8860	738	117	2332	12	301073	217	9210	768	133	2365	12	301039	250	0			0			15	301039	301289	39.24	42.71													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 36			5	71793	278	45	1116	258	353840	45	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.47444	58475	276	67	1116	212	354251	117	3.47468	90538	4115	83	28891	22	353840	6440	91454	4157	100	28908	22	353840	6440	0			0			163	362145	362978	225.12	174.76													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 37			5	2548	283	83	700	9	468011	133	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.41606	2548	283	83	700	9	468011	133	3.41606	2748	1374	949	1799	2	468011	1799	2815	1407	966	1849	2	467961	1849	0			0			7	467961	509548	220.45	182.98													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 38			5	9060	259	67	516	35	432757	83	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.43591	7528	260	67	516	29	432757	83	3.44699	10859	1357	67	8494	8	432757	83	11142	1393	100	8511	8	432740	100	0			0			19	432740	432840	34.09	46.9													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 39			5	949	475	250	700	2	469560	250	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.56844	949	475	250	700	2	469560	250	3.56844	949	475	250	700	2	469560	250	999	500	283	716	2	469527	283	0			0			0	469527	509548	67.02	182.98													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 40			5	500	167	83	300	3	469227	300	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.35931	500	167	83	300	3	469227	300	3.35931	533	266	233	300	2	469227	300	583	291	250	333	2	469194	333	0			0			1	469194	469527	58.26	67.02													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 41			5	583	583	583	583	1	468611	583	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.26905	583	583	583	583	1	468611	583	3.26905	583	583	583	583	1	468611	583	616	616	616	616	1	468578	616	0			0			0	468578	469194	91.39	58.26													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 42			5	366	183	133	233	2	468011	133	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.36025	366	183	133	233	2	468011	133	3.36025	366	183	133	233	2	468011	133	450	225	183	266	2	467961	183	0			0			0	467961	468145	220.45	36.95													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 43			5	150	150	150	150	1	468161	150	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.34835	150	150	150	150	1	468161	150	3.34835	150	150	150	150	1	468161	150	167	167	167	167	1	468145	167	0			0			0	468145	468311	36.95	68.97													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 44			5	13923	253	83	516	55	360796	483	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.35532	13457	254	83	516	53	360796	483	3.35649	15322	1094	100	3064	14	360796	1349	15872	1134	150	3114	14	360780	1366	0			0			39	360780	362145	51.2	225.12													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 45			5	8994	281	100	1149	32	385928	766	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.37033	7628	254	100	766	30	385928	766	3.34994	10026	1253	167	3797	8	385928	766	10276	1284	183	3831	8	385912	783	0			0			22	385912	425495	501.54	30.66													
Recording23	Participant6	Timeline1	My Time of Interest 001	1	Screen Recording Recording23	Rectangle 46			5	16288	276	67	1166	59	415752	67	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.34891	14373	276	67	1166	52	415752	67	3.34191	18653	1166	67	5846	16	415752	67	19286	1205	133	5862	16	415685	133	0			0			36	415685	415819	131.32	33.01													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle			5	4520	205	57	450	22	61639	57	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.24556	3414	213	67	450	16	61746	400	3.24727	5253	1751	483	3787	3	61639	3787	5336	1779	550	3787	3	61639	3787	0			0			15	67492		464.8														
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 1			5	5579	223	83	716	25	65560	716	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.2013	4930	214	83	716	23	65560	716	3.19956	6412	2137	1932	2465	3	65560	1932	6562	2187	1949	2532	3	65543	1949	0			0			21		67492		464.8													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 2			5	1616	269	133	716	6	65560	716	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.17959	1332	266	133	716	5	65560	716	3.17148	1749	874	283	1466	2	65560	1466	1765	883	283	1482	2	65543	1482	0			0			4		67026		307.33													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 3			5	3597	200	83	366	18	67075	266	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.20736	3231	190	83	333	17	67075	266	3.20684	4097	1366	416	2465	3	67075	416	4247	1416	466	2532	3	67026	466	0			0			15	67026	67492	307.33	464.8													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 4			5	366	366	366	366	1	71872	366	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.23741	366	366	366	366	1	71872	366	3.23741	366	366	366	366	1	71872	366	433	433	433	433	1	71805	433	0			0			0		72238		59.71													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 5			5	0				0			"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"			0				0				0				0			0				0			0			0			0																	
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 6			5	0				0			"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"			0				0				0				0			0				0			0			0			0																	
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 7			5	11558	218	67	849	53	79350	150	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.17511	10592	212	67	849	50	79350	150	3.17118	13174	941	117	4547	14	79350	4547	13907	993	150	4580	14	79317	4580	0			0			35	79317	83897	296.54	248.97													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 8			5	30545	226	67	983	135	83963	200	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.13473	28396	229	67	983	124	83963	200	3.13732	36706	1932	117	7761	19	83963	200	37555	1977	150	7844	19	83897	266	0			0			99	83897	84163	248.97	151.28													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 9			5	8177	210	67	483	39	83963	200	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.11385	7495	214	67	483	35	83963	200	3.11465	10191	1132	167	2715	9	83963	200	10508	1168	183	2765	9	83897	266	0			0			24	83897	84163	248.97	151.28													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 10			5	8444	235	67	533	36	90592	167	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.17899	7944	234	67	533	34	90592	167	3.18351	9660	878	283	1832	11	90592	283	10159	924	350	1849	11	90525	350	0			0			22	90525	90875	219.62	263.67													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 11			5	3181	289	83	983	11	96371	150	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.19537	3048	305	83	983	10	96371	150	3.19591	3348	1116	83	3114	3	96371	150	3481	1160	150	3164	3	96355	167	0			0			8	99336	96521	202.16	56.07													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 12			5	5912	204	83	566	29	103116	566	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.08681	5563	206	83	566	27	103116	566	3.08727	7012	779	83	2282	9	103116	2282	7361	818	133	2365	9	103033	2365	0			0			16	103033	105398	572.11	517.1													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 13			5	4663	245	83	616	19	105415	217	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.11206	4180	246	83	616	17	105415	217	3.11578	5413	1083	217	3847	5	105415	733	5546	1109	233	3881	5	105398	749	0			0			12	105398	106148	517.1	58													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 14			5	88838	357	67	2265	249	136639	202	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.35646	71665	336	67	2265	213	136874	83	3.34808	107192	3573	117	19286	30	136639	19171	108691	3623	183	19336	30	136639	19171	0			0			152	156327	168568	118.26	284.36													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 15			5	6712	210	67	433	32	168002	100	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.38686	6462	215	67	433	30	223046	217	3.38792	7861	873	100	2032	9	168002	100	8177	909	100	2065	9	168002	100	0			0			21	222996	168102	123.52	50.74													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 16			5	13790	306	67	883	45	202394	150	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.2834	13024	310	67	883	42	202394	150	3.28629	15356	1024	83	4230	15	202394	150	15922	1061	117	4247	15	202361	183	0			0			25	202361	202544	129.62	94.37													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 17			5	899	225	67	333	4	223046	217	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.35215	899	225	67	333	4	223046	217	3.35215	899	225	67	333	4	223046	217	1066	266	100	350	4	222996	266	0			0			0	222996	223262	123.52	93.9													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 18			5	1749	175	100	316	10	168002	100	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.39139	1499	187	100	316	8	260186	316	3.39671	2015	288	100	683	7	168002	100	2198	314	100	716	7	168002	100	0			0			2	260136	168102	346.61	50.74													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 19			5	899	225	150	333	4	260536	333	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.40291	899	225	150	333	4	260536	333	3.40291	916	305	250	333	3	260536	333	1016	339	283	366	3	260502	366	0			0			1	260502	260869	93.13	43.76													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 20			5	1482	247	83	433	6	259653	83	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.38789	1482	247	83	433	6	259653	83	3.38789	1516	303	200	433	5	259653	316	1699	340	233	450	5	259603	366	0			0			1	259603	259969	155.55	69.57													
Recording23	Participant6	Timeline1	Entire Recording	1	Screen Recording Recording23	Rectangle 21			5	1449	241	100	400	6	260003	133	"Rectangle 1,Rectangle 8,Rectangle 15,Rectangle 26,Rectangle 37,Rectangle 39"		3.3856	1449	241	100	400	6	260003	133	3.3856	1482	296	133	533	5	260003	133	1665	333	167	583	5	259969	167	0			0			1	259969	260136	69.57	346.61													
